name,method,method_link
U-ON,New lead,https://api.u-on.ru/{{credential.api_key}}/lead/create.json
U-ON,New request,https://api.u-on.ru/{{credential.api_key}}/request/create.json
U-ON,Add reminder in request,https://api.u-on.ru/{{credential.api_key}}/reminder/create.json
TargetSMS,Send SMS,https://sms.targetsms.ru/sendsmsjson.php
Klientiks CRM,New visit/order,"https://klientiks.ru/clientix/Restapi/list/a/{{credential.account_id}}/u/{{credential.user_id}}/t/{{credential.access_token}}/m/AppointmentClientLinks/ik/orders/rvwk/status,statuses/?date={{utils.currentTimestamp}}"
Klientiks CRM,New client,https://klientiks.ru/clientix/Restapi/add/a/{{credential.account_id}}/u/{{credential.user_id}}/t/{{credential.access_token}}/m/Clients/
Bizon 365,Add subscriber,https://online.bizon365.ru/api/v1/webinars/subpages/addSubscriber
ForClasses,Student Search,https://api.moyklass.com/v1/company/users
ForClasses,New application (entry) to the group,https://api.moyklass.com/v1/company/joins
ForClasses,Search for a request (entry) to a group,https://api.moyklass.com/v1/company/joins
ForClasses,Get a student by ID,https://api.moyklass.com/v1/company/users/{{data.id}}
ForClasses,Get an application (entry) by ID,https://api.moyklass.com/v1/company/joins/{{data.idRequest}}
ForClasses,Add a student to the class,
ForClasses,Changing a Student,https://api.moyklass.com/v1/company/users/{{data.id}}
ForClasses,Add a student to the class,https://app.moyklass.com/api/v1/class/join
ForClasses,New student,https://api.moyklass.com/v1/company/users
ProfitCRM,New lead,https://form.profitcrm.ru/integration/common/
Flowlu1,New contact,{{credential.domain}}api/v1/module/crm/account/create/?api_key={{credential.key}}
Flowlu1,Email to the counterparty,{{credential.domain}}api/v1/module/crm/email/create/?api_key={{credential.key}}
SMS4B,Send SMS,https://sms4b.ru/ws/sms.asmx/SendSMS
test builder,Test1,
test builder,errorTest,https://webhook.site/35719648-2254-41b8-a86b-880f196c608b
test builder,test timeOut,https://google.ru
test builder,test dateUnix,https://webhook.site/29f9da1e-0df9-453f-9245-dbbf915f9d23
test builder,test api,"https://webhook.site/88f03430-f596-4618-9a54-f27a2082d4f4
https://webhook.site/619b7578-1a53-4206-ab7f-e78c99020640"
test builder,Random,{{data.paramsn}}https://api.random.org/json-rpc/2/invoke
test builder,test IDE,https://app.omie.com.br/api/v1/geral/clientes/
test builder,Test Erorr Action,https://webhook.site/f7a22acb-0f3c-41d5-97a1-95cf2eed1278
test builder,sort fields,https://webhook.site/8316b097-dd3b-4663-87f4-925115763929
test builder,super new test,https://webhook.site/ae0000af-967e-41ad-a37c-a2608e5454f9
test builder,test HTML error,https://webhook.site/f7a22acb-0f3c-41d5-97a1-95cf2eed1278
test builder,test IDE requestResponse,https://webhook.site/29f9da1e-0df9-453f-9245-dbbf915f9d23/{{data.var1}}
test builder,test array in URL,https://superpet.retailcrm.ru/api/v5/orders
test builder,fsfdsf,https://webhook.site/eadd00f4-76a3-4781-9b6e-132c0df604cf
test builder,test error msg,https://webhook.site/b8aa4b61-ec82-4ae6-b6e0-90f78a79b163
test builder,test error msg,https://webhook.site/b8aa4b61-ec82-4ae6-b6e0-90f78a79b163
test builder,test redirect,https://albato.justclick.ru/api/addtagtolead
test builder,test sranyi service,https://api.enkod.ru/v1/mail/
test builder,IDE and error response,https://webhook.site/43dabe97-c95b-4950-95c5-552e25619c7a
test builder,test empty content-type response,https://webhook.site/1f06610b-b7de-4713-ad1c-9718b742cf00
test builder,sort row fields,
DashaMail,New subscriber,https://api.dashamail.com/?method=lists.add_member&username={{credential.username}}&password={{credential.password}}&format=json
iqSMS,Sending an SMS message,https://api.iqsms.ru/messages/v2/send.json
retailCRM test,dsfsd,
retailCRM test,New order,{{credential.domen}}/api/v5/orders/create?apiKey={{credential.apiKey}}
Mindbox,executeOperation,https://api.mindbox.ru/v3/operations/async?endpointId={{credential.endpoint}}&operation={{credential.operation}}
AlohaSms,Send message,http://95.213.129.83/xml/
BAZAR.Media,Send Lead,https://bazar.media/api/albato
SMSFeedback,Send message,http//api.smsfeedback.ru/messages/v2/send.json?login={{credential.login}}&password={{credential.password}}&{{data.shedultime}}&{{data.clientId}}&{{data.phone}}&{{data.text}}&{{data.sender}}
+karma,Sending an SMS message,http://p.pluskarma.ru/quick
SMSC,Sending an SMS message,https://smsc.ru/sys/send.php
i-digital direct,Sending an SMS message,https://direct.i-dgtl.ru/api/v1/message
i-digital direct,Sending a Viber message,https://direct.i-dgtl.ru/api/v1/message
i-digital direct,Sending a VK message,https://direct.i-dgtl.ru/api/v1/message
SMS Pobeda,Send SMS (neutral name),https://api.zmtech.ru:7778/v1/neutral
Bitly,Shorten a Link,https://api-ssl.bitly.com/v4/shorten
